date,category,product,region,base_price,discount_pct,final_price,competitor_price,demand,stock_level,rating,day_of_week,month,is_weekend
2021-01-02,Sports,Helmet,Aswan,321.07,0.0,321.07,325.18,72,152,4.9,5,1,1
2021-01-02,Clothing,Dress,Alex,268.44,0.1,241.6,234.56,41,149,3.0,5,1,1
2021-01-03,Food,Coffee,Aswan,61.63,0.0,61.63,62.63,79,364,4.9,6,1,1
2021-01-03,Electronics,Camera,Aswan,1013.2,0.15,861.22,750.43,25,393,4.1,6,1,1
2021-01-04,Food,Cereal,Luxor,48.37,0.05,45.95,40.81,130,355,4.3,0,1,0
2021-01-05,Clothing,Jeans,Giza,144.17,0.0,144.17,145.71,35,430,4.7,1,1,0
2021-01-06,Food,Snacks,Alex,50.59,0.1,45.53,39.29,203,359,4.1,2,1,0
2021-01-07,Home,Lamp,Giza,105.61,0.0,105.61,103.41,52,97,3.3,3,1,0
2021-01-08,Food,Juice,Cairo,54.6,0.0,54.6,60.89,143,469,3.6,4,1,0
2021-01-08,Clothing,Jacket,Luxor,264.55,0.1,238.1,250.27,41,43,3.5,4,1,0
2021-01-10,Home,Lamp,Alex,176.75,0.05,167.91,144.94,62,227,3.7,6,1,1
2021-01-10,Home,Pillow,Cairo,116.27,0.0,116.27,126.63,30,7,3.1,6,1,1
2021-01-10,Clothing,Shoes,Aswan,223.63,0.0,223.63,219.18,75,349,3.4,6,1,1
2021-01-11,Electronics,Tablet,Alex,1110.23,0.0,1110.23,973.57,34,364,4.5,0,1,0
2021-01-12,Clothing,T-Shirt,Cairo,160.18,0.15,136.15,133.43,123,218,4.2,1,1,0
2021-01-14,Food,Juice,Giza,51.39,0.15,43.68,48.86,239,288,3.3,3,1,0
2021-01-16,Electronics,Phone,Cairo,699.89,0.0,699.89,664.69,17,183,3.7,5,1,1
2021-01-17,Sports,Bike,Cairo,316.87,0.0,316.87,311.59,52,272,3.3,6,1,1
2021-01-17,Home,Rug,Giza,106.35,0.0,106.35,95.68,40,140,3.7,6,1,1
2021-01-17,Clothing,Jeans,Giza,187.1,0.0,187.1,169.4,53,149,4.6,6,1,1
2021-01-19,Sports,Yoga Mat,Aswan,371.89,0.0,371.89,359.31,74,342,3.2,1,1,0
2021-01-19,Electronics,Camera,Alex,1079.09,0.0,1079.09,985.28,48,215,3.8,1,1,0
2021-01-19,Sports,Dumbbells,Luxor,400.6,0.0,400.6,424.07,61,278,4.0,1,1,0
2021-01-19,Sports,Helmet,Aswan,301.12,0.0,301.12,265.39,86,223,4.5,1,1,0
2021-01-21,Clothing,Jacket,Luxor,211.91,0.05,201.31,211.57,63,443,3.9,3,1,0
2021-01-22,Home,Vase,Alex,189.67,0.05,180.19,173.48,45,240,4.8,4,1,0
2021-01-22,Home,Lamp,Cairo,107.73,0.0,107.73,99.33,63,378,4.5,4,1,0
2021-01-23,Food,Snacks,Cairo,66.92,0.0,66.92,69.06,93,125,4.5,5,1,1
2021-01-25,Electronics,Camera,Aswan,1079.32,0.05,1025.35,947.51,42,219,4.7,0,1,0
2021-01-26,Clothing,Jeans,Luxor,209.35,0.05,198.88,187.7,98,171,3.1,1,1,0
2021-01-28,Sports,Bike,Giza,409.64,0.0,409.64,422.91,33,220,4.9,3,1,0
2021-01-29,Home,Vase,Luxor,120.35,0.1,108.32,99.27,57,143,3.2,4,1,0
2021-02-02,Electronics,Camera,Luxor,702.55,0.0,702.55,700.5,35,474,3.0,1,2,0
2021-02-04,Food,Coffee,Giza,64.14,0.1,57.73,50.1,230,97,4.4,3,2,0
2021-02-05,Food,Coffee,Cairo,42.7,0.0,42.7,39.48,88,279,4.6,4,2,0
2021-02-06,Sports,Yoga Mat,Luxor,240.1,0.0,240.1,239.79,55,242,4.7,5,2,1
2021-02-08,Food,Tea,Luxor,44.75,0.05,42.51,42.43,165,104,3.8,0,2,0
2021-02-08,Electronics,Headphones,Aswan,787.38,0.0,787.38,706.2,47,451,3.7,0,2,0
2021-02-08,Home,Pillow,Alex,105.36,0.15,89.56,87.26,57,50,3.9,0,2,0
2021-02-10,Clothing,Jacket,Aswan,210.22,0.0,210.22,233.35,48,139,3.8,2,2,0
2021-02-10,Sports,Yoga Mat,Giza,214.39,0.0,214.39,240.58,95,206,3.2,2,2,0
2021-02-12,Clothing,Jacket,Aswan,250.51,0.0,250.51,219.54,50,59,4.3,4,2,0
2021-02-12,Sports,Yoga Mat,Giza,279.74,0.05,265.75,283.86,55,265,3.0,4,2,0
